User Story;Our Evaluation;AQUSA Evaluation;OpenAIs GPT-5 Evaluation;Claude 4.5 Sonnet Evaluation;Gemini 2.5 Flash Evaluation;DeepSeek-V3.1 Evaluation
As a company, I want to have a website that is easy to use, so that I can upload or delete stuff step by step.;No violation;No violation;Atomic;Atomic, Minimal;Atomic;No violation
As an employee, I want to get quick notifications, so that I can process cases the first time.;No violation;No violation;No violation;Minimal;No violation;No violation
As a company accountant, I want to view all available activity fees online, so that I can easily create a bill statement.;No violation;No violation;No violation;No violation;No violation;No violation
As a developer, I want to use bootstrap in the process of developing, so that I can easily design my website.;No violation;No violation;Minimal;Minimal;Minimal;No violation
As a user, I want to view all locations of recycling centers on a map, so that I can check which routes to take to drop off waste.;No violation;No violation;No violation;No violation;No violation;No violation
As a user, I want to upload my week's schedule, so that I can get recommendations for recycling centers that best fit my availability.;No violation;No violation;No violation;No violation;No violation;No violation
As a user, I want to contact the administrators, so that I can give feedback or ask for help.;No violation;No violation;Atomic;Atomic;No violation;No violation
As an admin, I want to add recycling center information, so that I can keep the database up-to-date over time.;No violation;No violation;Unique;Unique;Unique;Unique
As an admin, I want to view user error logs, so that I can fix or review any issues that are being faced by users of the system.;No violation;No violation;Atomic;Atomic;No violation;No violation
As an admin, I want to onboard recycling centers on the platform, so that I can increase information accuracy.;No violation;No violation;No violation;No violation;Unique;No violation
As a superuser, I want to update the recycling center information, so that I can provide the latest information about the recycling center.;No violation;No violation;No violation;Unique;Unique;Unique
As a superuser, I want to view users' stats, so that I can view in real-time how many users have visited my recycling center information and their recyclable waste.;No violation;No violation;No violation;Atomic;No violation;Atomic
As a superuser, I want to reply to user questions, so that I can answer any questions about my recycling center.;No violation;No violation;No violation;No violation;No violation;No violation
As an admin, I want to be able to communicate directly with facilities, so that I can keep them updated about features we have on our website.;No violation;No violation;No violation;No violation;No violation;No violation
As a user, I want to be able to browse through the list of facolities and see which ones are environment-friendly, so that I can know for sure my waste is not going to leave a negative ecological footprint.;No violation;Atomic;Atomic;Atomic;No violation;Atomic
As a recyclingfacility representative, I want to be able to update my information and the type of material I accept, so that I can avoid any miscommunication with users.;Atomic;Atomic;Atomic;Atomic;Atomic;Atomic
As a recyclingfacility representative, I want to have access to user stats and schedules, so that I can adjust my hours and/or upgrade equipment and capacity in order to be able to accomodate larger amounts of recyclable materials.;Atomic, Minimal;Atomic, Uniform;Atomic;Atomic;Atomic;Atomic, Minimal
As a recyclingfacility, I want to be able to communicate directly with the site admin and convey any issues or concerns I have, so that they fix them.;Atomic;Atomic;Atomic;Atomic;No violation;Atomic, Unique
